Fire,Aspect,DEM,MeanMaximumTemperature,MeanMinimumTemperature,Moisture,NDVI,Precipitation,Runoff,Slope,Vapour,WindSpeed,Drivers,Dlake,Droads,Dset,landcover
1,166.4336145,24,248.4166667,123.8333333,785.6666667,0.469132453,110.9166667,6.416666667,1.474830313,1562.666667,315,920.4591175,1692.458555,634.8826351,9886.873804,82
1,67.38048913,38,255.5,121.6666667,780.25,0.71860522,109.6666667,9.166666667,3.723199279,1543.416667,271.6666667,835.463074,1905.570631,6999.862835,13952.79895,90
1,134.2900173,51,256.9166667,125.5,684.8333333,0.799326599,115.6666667,17,2.872606505,1552.083333,237.5,1441.295135,1264.093089,842.1504306,20801.28428,90
1,328.923676,68,247.5,120.5,851.5833333,0.632402241,105.9166667,8.416666667,0.669685887,1496.166667,255.8333333,1002.166144,984.9077764,612.070366,1002.196956,90
1,172.3771354,97,250,118.75,955.3333333,0.771814287,106.4166667,9.583333333,2.602418587,1493.583333,253.3333333,758.7056964,582.6919517,920.4196652,42.09538825,22
1,72.80677026,111,241,114.5833333,682.5833333,0.524243236,97.41666667,8.333333333,2.908232424,1448.166667,255,751.1969941,926.7478951,4971.731276,13349.24515,71
1,230.3212178,31,250.5,125.3333333,472.5,0.815303445,109,7.166666667,0.898304465,1554.916667,305.8333333,431.6169059,4468.226914,959.5803645,3853.097934,21
1,115.3300777,17,250.3333333,122.5833333,384.75,0.42774722,106,7.5,2.679464054,1526.916667,284.1666667,1299.430442,505.0787101,3360.814339,15469.72939,82
1,129.5350734,98,241.0833333,114.8333333,711.3333333,0.745718062,98.25,7.833333333,2.701312665,1454.583333,254.1666667,732.6272935,1499.845073,3019.161371,9804.164794,42
1,254.3175234,39,260.8333333,133.6666667,1121.25,0.786150694,114.0833333,6.916666667,1.060896605,1675.083333,253.3333333,536.9337452,1733.21904,2.030372289,34638.5024,42
1,247.4736955,109,249.3333333,117.8333333,999.3333333,0.495800644,105.6666667,8.583333333,1.496886433,1485.833333,255,925.3133324,299.7749864,1638.254689,0,22
1,0,57,254.1666667,124.3333333,741.0833333,0.850431979,116.5,15,0,1534.333333,247.5,205.9812808,1385.961216,1292.669242,3560.706011,42
1,321.6751555,17,258.8333333,137.75,885.8333333,0.4311288,114.0833333,5.833333333,1.096603126,1729.916667,304.1666667,194.4835781,2754.773207,2271.57394,13098.76463,21
1,247.3067884,32,256.4166667,127.6666667,908.5833333,0.679416537,117.9166667,14.08333333,1.486457096,1578.333333,253.3333333,796.675946,1405.777176,1588.24567,30792.74119,42
1,215.9402728,134,244.8333333,109.9166667,1230.75,0.835467815,98.16666667,7.833333333,1.770614031,1441.166667,254.1666667,296.7388519,2434.680456,1575.457991,13265.00386,52
1,199.1775663,285,228.0833333,109.4166667,805.6666667,0.345421582,100.1666667,18.58333333,2.124579667,1360.333333,255.8333333,43.83276611,858.9445916,1004.045107,0,21
1,292.5365717,149,244.25,110.6666667,1792.75,0.716905415,100.75,15.5,2.990442603,1483.916667,256.6666667,843.4476442,1607.009781,3725.722839,27560.44461,21
1,238.3177132,84,243.75,116.4166667,506.1666667,0.575138628,91.41666667,5.833333333,1.637757179,1428.25,250,978.9862821,2513.504735,2825.45987,7882.442802,21
1,105.514011,146,249.5,114.3333333,778.4166667,0.733683884,105.9166667,15,1.072126672,1473.5,255.8333333,943.9295808,684.2502743,1519.189809,272.0984202,22
1,298.9134362,50,246.5833333,120.1666667,641.8333333,0.657127976,104.8333333,7.75,1.186208196,1480.333333,263.3333333,432.4726157,1924.514222,951.0683383,11469.44321,82
1,275.2384389,88,242.4166667,115.6666667,637.5833333,0.48227194,96.41666667,6.833333333,3.1381217,1451.833333,254.1666667,1021.067025,4151.767775,1314.900249,18441.62959,82
1,112.4322311,28,251,117.8333333,338.4166667,0.508790314,98.91666667,7.166666667,1.50283506,1467.083333,260,1366.695907,4902.98761,2535.982946,6514.157781,21
1,215.7374248,88,252.5833333,118.0833333,654.5833333,0.677247822,113.9166667,16.5,1.766095139,1521.333333,240.8333333,561.3312886,2233.77212,2.00806571,29562.51476,82
1,90,95,240.1666667,113.5,623.5833333,0.708411217,91.25,9.666666667,2.791834653,1420.75,240.8333333,721.2976701,3733.724519,3021.835468,17876.04598,22
